id_factura,id_producto,cantidad,precio_unitario
239,167,6,275.76
427,200,9,344.29
3,152,9,199.29
147,125,4,199.13
61,193,8,69.1
144,195,1,173.64
1,200,1,344.29
395,162,6,123.68
290,6,4,324.78
15,107,4,271.15
247,53,5,131.29
413,162,9,123.68
94,56,9,72.4
114,18,6,218.61
265,178,1,154.28
452,50,3,393.01
259,154,10,187.84
1,51,3,190.77
12,11,7,152.94
240,1,8,226.5
94,12,1,48.33
140,24,4,194.75
137,168,6,301.18
56,134,4,81.37
187,168,8,301.18
407,184,9,251.53
313,138,3,283.14
385,119,7,44.79
244,141,5,453.83
61,151,9,341.9
400,13,3,171.79
298,134,9,81.37
373,93,1,471.55
381,187,4,226.76
170,190,1,31.8
110,79,4,108.65
375,114,9,381.05
199,151,4,341.9
274,76,7,379.02
47,111,3,186.39
161,3,3,220.09
456,189,8,87.56
232,4,7,103.54
299,160,7,90.09
361,5,9,313.96
78,157,9,65.04
247,101,9,65.27
469,112,10,304.99
209,188,10,158.33
407,129,1,202.57
404,27,4,477.57
429,186,3,297.18
82,102,10,396.64
4,68,5,384.66
239,69,4,348.38
60,154,3,187.84
271,129,4,202.57
444,104,8,452.46
477,129,7,202.57
83,199,4,389.01
174,146,4,453.72
377,114,7,381.05
206,110,10,250.8
23,43,5,233.73
124,109,9,347.96
260,121,9,162.27
450,96,5,393.9
266,88,4,297.58
460,90,5,468.45
281,172,2,252.21
68,195,8,173.64
408,103,2,374.6
217,62,1,81.23
344,144,5,278.05
85,127,9,320.69
220,106,10,12.8
18,186,4,297.18
34,112,6,304.99
42,156,3,375.7
255,6,2,324.78
61,34,5,16.85
410,26,3,234.97
272,125,3,199.13
306,39,6,70.4
377,11,6,152.94
316,191,6,216.63
228,73,4,345.96
39,199,4,389.01
356,100,10,435.09
48,171,8,335.82
485,93,4,471.55
89,110,10,250.8
324,105,6,382.23
467,159,3,88.25
348,187,2,226.76
215,57,2,483.92
72,39,9,70.4
462,118,5,401.29
135,9,10,66.96
111,146,2,453.72
124,20,4,414.78
358,185,3,11.35
132,9,6,66.96
8,173,6,365.23
196,120,6,346.96
385,196,3,213.21
344,14,10,189.89
499,30,8,23.45
321,173,4,365.23
371,106,3,12.8
103,184,2,251.53
50,24,8,194.75
403,196,5,213.21
259,6,8,324.78
215,91,7,206.95
464,193,1,69.1
291,36,4,478.21
170,81,3,140.1
385,33,3,385.45
18,40,4,214.5
229,144,10,278.05
320,76,7,379.02
165,37,5,16.79
312,170,7,350.15
400,180,5,65.61
481,72,8,121.46
445,125,2,199.13
35,103,7,374.6
128,107,6,271.15
348,173,2,365.23
116,141,8,453.83
371,26,2,234.97
431,24,6,194.75
464,41,7,265.55
90,114,7,381.05
97,51,10,190.77
352,70,2,264.32
129,42,9,179.95
412,195,1,173.64
215,143,4,341.76
62,10,1,48.89
452,103,3,374.6
336,102,9,396.64
172,200,7,344.29
240,23,1,493.23
254,68,9,384.66
160,141,8,453.83
143,91,1,206.95
468,71,3,67.09
181,183,4,458.7
499,95,6,437.97
288,67,1,428.87
103,49,5,314.87
421,96,9,393.9
435,65,5,466.39
107,99,1,134.55
270,91,1,206.95
480,56,9,72.4
308,48,7,5.78
66,107,10,271.15
169,102,4,396.64
353,187,8,226.76
126,33,1,385.45
312,102,3,396.64
121,172,7,252.21
355,20,5,414.78
290,85,1,95.28
404,104,5,452.46
293,137,1,467.39
337,113,1,386.97
38,132,7,365.29
326,162,5,123.68
365,49,3,314.87
11,10,2,48.89
442,104,10,452.46
37,65,7,466.39
394,146,4,453.72
421,159,2,88.25
385,114,1,381.05
99,39,8,70.4
261,165,4,346.73
228,26,2,234.97
281,79,2,108.65
188,9,4,66.96
66,141,5,453.83
142,74,6,155.29
271,156,5,375.7
28,31,10,80.17
31,187,10,226.76
177,25,6,356.34
309,82,7,171.63
18,49,8,314.87
112,200,9,344.29
92,131,5,388.5
88,169,9,285.62
353,17,10,159.63
4,11,9,152.94
220,95,8,437.97
190,200,9,344.29
341,184,1,251.53
251,90,2,468.45
148,137,2,467.39
56,24,4,194.75
425,53,1,131.29
190,6,5,324.78
237,158,1,95.58
272,199,6,389.01
495,67,1,428.87
178,80,7,477.47
180,74,6,155.29
294,37,8,16.79
390,95,8,437.97
359,30,10,23.45
388,45,5,252.28
89,106,3,12.8
239,47,1,229.59
358,62,8,81.23
327,115,8,366.21
482,155,4,378.07
175,175,8,161.91
251,168,5,301.18
495,136,5,165.2
446,79,6,108.65
369,93,6,471.55
98,184,6,251.53
49,163,1,186.44
255,46,4,496.13
99,141,4,453.83
493,10,10,48.89
326,11,1,152.94
311,48,2,5.78
256,11,7,152.94
412,114,7,381.05
286,131,5,388.5
337,26,5,234.97
432,193,3,69.1
303,137,1,467.39
181,134,7,81.37
301,37,1,16.79
108,196,3,213.21
395,57,7,483.92
126,6,2,324.78
69,142,10,346.92
383,11,1,152.94
332,148,8,83.0
336,123,8,40.58
165,171,10,335.82
471,112,6,304.99
95,93,8,471.55
418,120,1,346.96
132,17,2,159.63
405,113,8,386.97
141,79,6,108.65
394,85,2,95.28
183,26,9,234.97
65,164,2,93.08
11,58,9,312.08
210,44,5,279.05
134,153,5,197.04
368,57,5,483.92
72,48,4,5.78
263,129,1,202.57
107,183,1,458.7
178,178,10,154.28
314,155,9,378.07
163,145,4,443.0
369,116,3,134.06
384,65,5,466.39
360,81,8,140.1
134,30,2,23.45
468,37,9,16.79
332,134,9,81.37
26,177,2,205.45
49,122,10,194.37
194,6,4,324.78
462,49,2,314.87
94,109,1,347.96
125,14,6,189.89
434,166,9,308.83
192,137,8,467.39
334,168,6,301.18
67,49,9,314.87
457,86,3,80.5
177,67,2,428.87
10,29,4,262.11
108,160,10,90.09
402,140,1,177.84
233,80,3,477.47
289,67,3,428.87
260,13,4,171.79
26,171,10,335.82
112,71,5,67.09
256,77,10,369.38
342,74,10,155.29
279,91,7,206.95
220,101,9,65.27
495,198,7,106.66
98,151,5,341.9
349,45,7,252.28
6,127,2,320.69
323,132,4,365.29
67,112,8,304.99
495,9,8,66.96
441,129,3,202.57
13,26,8,234.97
484,193,10,69.1
326,173,10,365.23
98,29,4,262.11
272,127,7,320.69
42,151,8,341.9
167,35,5,251.74
256,156,5,375.7
438,69,8,348.38
207,88,6,297.58
25,113,2,386.97
183,69,2,348.38
73,63,3,171.13
403,134,1,81.37
467,180,10,65.61
25,76,10,379.02
77,24,10,194.75
313,165,2,346.73
136,164,1,93.08
282,8,10,404.75
59,82,8,171.63
478,78,1,168.02
315,182,2,254.26
247,4,2,103.54
192,180,1,65.61
79,57,4,483.92
16,39,7,70.4
12,91,5,206.95
407,138,5,283.14
88,63,9,171.13
285,90,5,468.45
272,22,2,359.18
290,31,5,80.17
5,31,3,80.17
95,195,7,173.64
59,122,9,194.37
218,81,8,140.1
451,161,8,189.27
485,96,5,393.9
412,199,9,389.01
402,73,10,345.96
48,155,5,378.07
164,49,4,314.87
115,3,1,220.09
13,47,2,229.59
141,80,6,477.47
415,8,9,404.75
495,25,1,356.34
388,199,7,389.01
37,152,4,199.29
86,3,2,220.09
281,92,10,358.63
9,124,3,242.92
196,146,5,453.72
213,102,6,396.64
289,114,4,381.05
2,189,1,87.56
130,6,8,324.78
341,23,5,493.23
130,102,8,396.64
480,50,1,393.01
132,10,6,48.89
122,13,4,171.79
416,162,10,123.68
353,21,7,425.47
420,22,2,359.18
273,81,8,140.1
164,104,5,452.46
184,53,3,131.29
44,155,4,378.07
155,34,8,16.85
382,10,7,48.89
186,173,2,365.23
76,27,1,477.57
470,139,8,80.55
469,91,1,206.95
494,123,10,40.58
465,183,7,458.7
213,186,8,297.18
162,11,1,152.94
472,116,10,134.06
62,130,9,52.11
421,99,9,134.55
174,63,7,171.13
35,74,7,155.29
351,154,2,187.84
383,83,6,429.77
43,19,1,19.03
15,160,1,90.09
113,167,5,275.76
179,3,6,220.09
136,21,7,425.47
384,23,7,493.23
201,85,10,95.28
289,38,10,151.66
164,184,7,251.53
411,37,6,16.79
450,70,10,264.32
244,56,4,72.4
308,195,3,173.64
412,105,7,382.23
480,77,3,369.38
34,189,3,87.56
494,191,5,216.63
195,67,2,428.87
434,76,9,379.02
80,159,6,88.25
253,164,5,93.08
127,169,3,285.62
90,147,2,281.76
166,43,6,233.73
363,99,7,134.55
307,31,7,80.17
481,20,5,414.78
247,65,2,466.39
349,198,10,106.66
364,198,1,106.66
415,157,5,65.04
50,118,8,401.29
279,141,5,453.83
355,143,1,341.76
416,151,8,341.9
170,120,4,346.96
476,79,9,108.65
178,27,2,477.57
339,52,10,434.1
184,34,2,16.85
52,73,10,345.96
56,114,6,381.05
491,129,4,202.57
27,177,10,205.45
125,130,6,52.11
70,123,9,40.58
485,36,9,478.21
321,74,7,155.29
120,20,5,414.78
104,111,3,186.39
73,133,6,101.02
210,21,2,425.47
337,120,8,346.96
274,127,8,320.69
261,173,6,365.23
136,161,2,189.27
480,30,6,23.45
265,65,5,466.39
300,149,5,217.91
144,115,5,366.21
215,100,6,435.09
475,107,5,271.15
485,12,9,48.33
262,64,5,255.49
144,22,5,359.18
273,58,10,312.08
175,174,10,215.38
410,162,8,123.68
444,4,10,103.54
175,68,7,384.66
190,166,3,308.83
435,109,7,347.96
77,173,10,365.23
121,99,8,134.55
54,194,8,21.71
134,27,6,477.57
342,101,3,65.27
65,134,9,81.37
15,15,5,244.67
444,161,8,189.27
431,192,3,198.44
23,81,4,140.1
315,1,10,226.5
95,153,8,197.04
322,80,8,477.47
489,170,1,350.15
187,93,7,471.55
57,54,10,369.62
245,73,6,345.96
345,148,5,83.0
243,187,8,226.76
362,3,1,220.09
198,200,6,344.29
478,43,3,233.73
42,129,10,202.57
281,108,8,345.71
58,107,8,271.15
74,124,4,242.92
431,145,2,443.0
88,185,4,11.35
99,14,5,189.89
255,14,4,189.89
44,181,10,262.69
208,92,6,358.63
79,10,10,48.89
32,83,4,429.77
114,27,10,477.57
376,37,6,16.79
145,161,8,189.27
386,24,6,194.75
456,130,10,52.11
189,47,10,229.59
292,35,4,251.74
13,190,1,31.8
257,82,4,171.63
370,78,9,168.02
253,35,7,251.74
61,68,7,384.66
315,21,8,425.47
430,72,5,121.46
354,138,9,283.14
313,185,3,11.35
436,155,4,378.07
57,110,3,250.8
362,57,9,483.92
377,136,5,165.2
452,7,8,324.46
248,171,8,335.82
369,132,6,365.29
324,1,9,226.5
125,72,9,121.46
25,170,4,350.15
461,95,3,437.97
109,62,6,81.23
305,85,7,95.28
461,42,4,179.95
477,123,1,40.58
404,62,10,81.23
413,159,8,88.25
320,22,7,359.18
484,151,9,341.9
380,171,1,335.82
344,33,7,385.45
401,82,9,171.63
225,19,3,19.03
487,171,3,335.82
165,152,8,199.29
29,179,7,28.44
1,70,4,264.32
185,56,9,72.4
61,168,6,301.18
54,119,8,44.79
201,153,8,197.04
341,85,2,95.28
318,189,1,87.56
104,164,7,93.08
197,65,3,466.39
33,95,10,437.97
328,130,5,52.11
70,184,5,251.53
373,200,1,344.29
138,17,4,159.63
144,21,6,425.47
484,87,3,472.13
15,57,3,483.92
236,48,3,5.78
93,138,7,283.14
369,8,10,404.75
17,22,2,359.18
341,118,3,401.29
359,112,6,304.99
291,72,10,121.46
389,193,5,69.1
113,104,9,452.46
172,97,9,388.66
464,85,10,95.28
436,20,9,414.78
153,145,7,443.0
55,195,3,173.64
34,69,6,348.38
451,197,5,145.21
280,36,7,478.21
387,112,5,304.99
491,133,6,101.02
165,85,2,95.28
483,177,7,205.45
421,118,5,401.29
6,133,3,101.02
426,90,9,468.45
232,176,7,223.83
316,67,5,428.87
37,73,4,345.96
245,37,8,16.79
12,77,9,369.38
307,130,10,52.11
305,95,8,437.97
236,64,8,255.49
306,60,5,163.91
316,19,5,19.03
437,73,6,345.96
243,198,6,106.66
332,188,7,158.33
386,72,8,121.46
323,165,9,346.73
488,10,3,48.89
150,84,4,450.85
353,101,5,65.27
30,31,10,80.17
245,69,4,348.38
70,178,6,154.28
421,97,8,388.66
255,7,6,324.46
452,27,4,477.57
420,13,4,171.79
460,87,3,472.13
304,45,1,252.28
66,84,10,450.85
350,152,7,199.29
245,60,5,163.91
410,145,10,443.0
433,172,8,252.21
206,27,1,477.57
80,29,9,262.11
254,128,1,490.91
244,29,4,262.11
95,93,8,471.55
461,109,2,347.96
48,185,7,11.35
295,190,1,31.8
396,113,6,386.97
493,46,1,496.13
236,1,2,226.5
158,55,8,463.42
306,33,2,385.45
207,86,2,80.5
238,46,10,496.13
61,176,5,223.83
487,179,1,28.44
55,148,8,83.0
387,101,3,65.27
53,93,8,471.55
203,125,1,199.13
170,80,7,477.47
26,86,9,80.5
46,64,9,255.49
277,43,3,233.73
156,55,6,463.42
325,73,9,345.96
209,44,1,279.05
11,167,10,275.76
393,28,6,263.12
1,118,4,401.29
97,109,4,347.96
2,106,5,12.8
490,175,6,161.91
231,18,2,218.61
458,88,8,297.58
107,197,8,145.21
463,5,4,313.96
204,57,7,483.92
215,19,8,19.03
395,22,2,359.18
456,111,8,186.39
185,63,2,171.13
308,85,2,95.28
70,188,1,158.33
85,31,1,80.17
151,97,6,388.66
24,100,8,435.09
217,172,4,252.21
358,158,7,95.58
135,103,8,374.6
20,35,7,251.74
255,199,1,389.01
382,21,2,425.47
376,80,8,477.47
76,165,8,346.73
35,6,10,324.78
319,118,1,401.29
92,100,4,435.09
31,172,2,252.21
80,41,5,265.55
56,23,7,493.23
71,118,10,401.29
302,197,3,145.21
183,113,7,386.97
363,168,5,301.18
434,48,6,5.78
87,157,1,65.04
465,110,5,250.8
179,19,3,19.03
120,4,4,103.54
117,61,10,301.99
138,21,3,425.47
489,104,2,452.46
468,141,2,453.83
450,130,7,52.11
368,117,6,384.23
448,92,3,358.63
445,5,6,313.96
392,175,8,161.91
313,19,2,19.03
321,79,3,108.65
319,162,1,123.68
182,133,9,101.02
22,170,2,350.15
192,8,5,404.75
415,169,4,285.62
70,98,2,428.02
38,6,1,324.78
421,156,7,375.7
341,19,3,19.03
39,196,8,213.21
164,121,6,162.27
186,11,5,152.94
343,197,1,145.21
260,112,5,304.99
12,11,9,152.94
125,171,8,335.82
452,3,1,220.09
283,175,2,161.91
41,11,1,152.94
370,53,7,131.29
445,87,7,472.13
329,82,3,171.63
260,43,6,233.73
202,155,2,378.07
359,75,1,196.74
109,95,10,437.97
179,79,9,108.65
436,77,7,369.38
141,132,2,365.29
115,77,7,369.38
65,45,7,252.28
59,50,6,393.01
58,63,8,171.13
276,8,3,404.75
101,95,6,437.97
489,67,6,428.87
63,162,2,123.68
263,79,9,108.65
397,113,1,386.97
106,172,8,252.21
433,145,10,443.0
237,143,4,341.76
50,116,9,134.06
87,122,8,194.37
71,189,4,87.56
268,7,2,324.46
171,17,9,159.63
168,77,3,369.38
469,98,3,428.02
425,108,2,345.71
390,19,5,19.03
432,164,3,93.08
49,8,3,404.75
382,53,3,131.29
189,138,10,283.14
266,130,9,52.11
290,13,8,171.79
241,111,7,186.39
23,108,6,345.71
197,26,9,234.97
43,71,5,67.09
426,72,9,121.46
480,49,10,314.87
411,115,9,366.21
444,151,4,341.9
469,43,3,233.73
486,179,8,28.44
280,181,6,262.69
455,112,1,304.99
122,40,9,214.5
368,2,5,323.35
415,65,7,466.39
208,124,2,242.92
127,13,4,171.79
1,27,2,477.57
383,168,2,301.18
230,178,7,154.28
13,191,8,216.63
275,95,9,437.97
382,135,5,410.13
222,36,10,478.21
351,53,6,131.29
389,156,8,375.7
329,11,1,152.94
413,20,8,414.78
287,181,7,262.69
380,132,9,365.29
403,113,10,386.97
215,169,3,285.62
441,17,5,159.63
254,134,6,81.37
392,9,2,66.96
206,145,3,443.0
62,52,4,434.1
125,171,7,335.82
200,20,9,414.78
327,59,9,12.15
452,88,5,297.58
69,106,10,12.8
166,66,8,298.48
439,31,6,80.17
176,166,5,308.83
327,16,2,189.49
226,89,6,138.74
10,191,9,216.63
360,49,9,314.87
444,109,7,347.96
148,147,1,281.76
143,76,1,379.02
161,69,9,348.38
94,128,3,490.91
113,39,5,70.4
280,76,4,379.02
16,32,9,338.06
452,163,7,186.44
368,12,9,48.33
235,103,1,374.6
460,123,2,40.58
484,46,4,496.13
270,174,10,215.38
256,184,2,251.53
297,189,5,87.56
177,10,6,48.89
401,143,3,341.76
402,140,3,177.84
74,22,3,359.18
87,169,3,285.62
429,33,9,385.45
1,31,3,80.17
49,197,10,145.21
447,63,5,171.13
294,156,9,375.7
333,84,8,450.85
381,187,3,226.76
178,100,6,435.09
193,172,10,252.21
62,106,9,12.8
156,174,7,215.38
343,11,1,152.94
64,100,1,435.09
263,47,4,229.59
49,45,1,252.28
247,141,9,453.83
437,171,1,335.82
424,111,10,186.39
495,53,10,131.29
34,46,2,496.13
420,139,9,80.55
347,73,8,345.96
499,83,4,429.77
345,14,1,189.89
52,193,6,69.1
135,10,4,48.89
370,87,10,472.13
402,186,3,297.18
448,24,8,194.75
137,80,8,477.47
165,195,6,173.64
77,35,9,251.74
421,161,9,189.27
162,69,5,348.38
47,101,2,65.27
279,115,10,366.21
256,20,4,414.78
247,196,3,213.21
44,47,2,229.59
184,21,3,425.47
265,194,10,21.71
76,63,1,171.13
28,177,2,205.45
64,84,10,450.85
353,11,6,152.94
6,192,7,198.44
237,77,1,369.38
171,94,2,345.46
209,71,10,67.09
472,121,4,162.27
21,19,10,19.03
72,134,10,81.37
126,86,8,80.5
193,34,7,16.85
97,103,3,374.6
124,133,3,101.02
28,43,1,233.73
393,174,1,215.38
388,22,5,359.18
25,26,7,234.97
80,129,2,202.57
22,123,6,40.58
58,189,5,87.56
299,172,7,252.21
273,110,8,250.8
145,157,8,65.04
343,133,8,101.02
180,83,4,429.77
456,12,10,48.33
358,47,7,229.59
167,167,8,275.76
214,28,7,263.12
125,154,1,187.84
148,182,10,254.26
4,13,5,171.79
111,166,3,308.83
499,52,5,434.1
376,59,10,12.15
56,38,10,151.66
23,180,9,65.61
331,47,5,229.59
19,62,6,81.23
399,10,4,48.89
180,140,9,177.84
73,44,2,279.05
20,165,10,346.73
323,110,4,250.8
9,76,4,379.02
446,103,4,374.6
322,86,10,80.5
481,112,7,304.99
491,5,5,313.96
375,59,9,12.15
336,99,6,134.55
72,10,2,48.89
220,87,10,472.13
268,122,7,194.37
65,90,4,468.45
270,8,3,404.75
275,93,10,471.55
17,172,8,252.21
298,182,1,254.26
98,107,8,271.15
272,67,3,428.87
110,145,1,443.0
489,39,9,70.4
334,197,9,145.21
288,60,4,163.91
498,82,5,171.63
8,3,4,220.09
153,110,6,250.8
61,30,7,23.45
130,90,9,468.45
43,2,1,323.35
75,6,9,324.78
115,139,1,80.55
299,87,8,472.13
14,127,5,320.69
269,22,4,359.18
321,152,2,199.29
44,144,2,278.05
423,178,5,154.28
258,193,3,69.1
270,117,5,384.23
170,182,1,254.26
192,172,5,252.21
471,100,1,435.09
364,177,3,205.45
376,144,7,278.05
196,98,2,428.02
3,33,7,385.45
48,80,9,477.47
315,198,2,106.66
500,6,1,324.78
11,166,6,308.83
45,52,6,434.1
365,200,1,344.29
475,77,8,369.38
494,15,7,244.67
159,166,8,308.83
24,91,7,206.95
203,174,10,215.38
267,86,9,80.5
102,61,5,301.99
457,1,6,226.5
40,183,5,458.7
412,58,8,312.08
434,164,1,93.08
377,155,6,378.07
92,70,7,264.32
168,120,6,346.96
347,141,9,453.83
27,172,9,252.21
380,2,9,323.35
271,74,4,155.29
280,156,6,375.7
404,163,9,186.44
25,84,5,450.85
443,30,5,23.45
375,6,5,324.78
409,133,9,101.02
286,31,4,80.17
81,184,4,251.53
294,188,6,158.33
445,88,9,297.58
278,55,6,463.42
415,48,10,5.78
306,95,5,437.97
266,125,8,199.13
378,102,4,396.64
210,108,9,345.71
273,99,4,134.55
49,164,4,93.08
28,171,5,335.82
272,42,1,179.95
334,41,4,265.55
249,9,5,66.96
59,5,4,313.96
472,20,8,414.78
458,112,8,304.99
181,43,3,233.73
19,128,5,490.91
487,6,7,324.78
315,15,4,244.67
28,42,4,179.95
23,88,10,297.58
401,86,4,80.5
106,88,5,297.58
157,143,9,341.76
190,146,9,453.72
93,199,6,389.01
371,177,3,205.45
228,18,5,218.61
244,11,7,152.94
153,71,8,67.09
147,128,3,490.91
255,86,10,80.5
83,174,5,215.38
370,156,4,375.7
459,183,6,458.7
267,155,7,378.07
193,79,5,108.65
330,81,8,140.1
97,33,1,385.45
494,19,7,19.03
86,126,1,264.69
252,72,1,121.46
32,66,7,298.48
136,181,8,262.69
175,53,10,131.29
136,11,4,152.94
301,124,1,242.92
234,80,7,477.47
236,161,1,189.27
336,29,5,262.11
478,15,1,244.67
382,75,7,196.74
233,24,5,194.75
293,188,8,158.33
63,60,5,163.91
219,71,7,67.09
247,169,9,285.62
432,147,9,281.76
442,39,7,70.4
465,127,5,320.69
1,57,1,483.92
164,144,9,278.05
27,187,1,226.76
417,8,4,404.75
471,34,4,16.85
446,22,8,359.18
391,93,4,471.55
466,94,5,345.46
64,57,7,483.92
336,143,8,341.76
244,158,3,95.58
78,90,10,468.45
103,36,6,478.21
409,18,6,218.61
161,17,8,159.63
56,28,7,263.12
387,29,10,262.11
494,93,1,471.55
343,136,2,165.2
119,174,6,215.38
3,36,4,478.21
430,60,5,163.91
285,155,6,378.07
115,149,4,217.91
59,114,7,381.05
200,37,6,16.79
80,123,1,40.58
214,30,3,23.45
310,20,3,414.78
351,115,1,366.21
418,129,6,202.57
85,11,7,152.94
481,165,5,346.73
277,127,6,320.69
153,144,10,278.05
466,30,7,23.45
360,18,8,218.61
83,13,7,171.79
481,106,2,12.8
75,40,10,214.5
216,9,8,66.96
26,94,3,345.46
499,117,7,384.23
138,54,10,369.62
174,54,1,369.62
21,59,3,12.15
123,159,6,88.25
146,150,6,429.36
54,58,10,312.08
118,70,5,264.32
197,132,3,365.29
250,141,5,453.83
490,29,10,262.11
192,11,6,152.94
218,58,2,312.08
299,76,4,379.02
188,26,5,234.97
149,160,7,90.09
475,67,1,428.87
304,88,5,297.58
378,136,10,165.2
389,129,2,202.57
30,168,5,301.18
353,199,8,389.01
234,90,2,468.45
63,30,7,23.45
90,150,2,429.36
276,36,10,478.21
91,168,3,301.18
264,33,9,385.45
238,53,8,131.29
11,62,5,81.23
276,161,9,189.27
173,161,10,189.27
421,24,10,194.75
316,129,10,202.57
427,35,8,251.74
186,7,3,324.46
364,164,4,93.08
398,175,8,161.91
138,23,1,493.23
94,121,6,162.27
336,46,10,496.13
91,48,10,5.78
289,140,4,177.84
421,58,9,312.08
226,39,4,70.4
20,197,1,145.21
368,148,8,83.0
6,34,8,16.85
217,158,2,95.58
357,184,9,251.53
55,175,7,161.91
82,101,3,65.27
11,86,6,80.5
63,52,1,434.1
235,94,8,345.46
431,136,3,165.2
500,76,2,379.02
202,145,9,443.0
285,160,8,90.09
415,124,9,242.92
430,62,9,81.23
348,71,4,67.09
498,70,6,264.32
301,13,6,171.79
41,76,3,379.02
81,98,7,428.02
311,128,5,490.91
8,117,3,384.23
401,148,6,83.0
254,150,8,429.36
141,106,6,12.8
161,57,2,483.92
182,12,2,48.33
46,149,8,217.91
484,44,2,279.05
387,191,3,216.63
120,60,1,163.91
371,52,8,434.1
80,151,10,341.9
326,113,1,386.97
291,153,4,197.04
414,164,9,93.08
394,92,6,358.63
428,69,4,348.38
345,103,5,374.6
432,112,6,304.99
117,191,3,216.63
406,123,8,40.58
70,113,4,386.97
295,5,2,313.96
2,115,8,366.21
102,78,1,168.02
244,28,10,263.12
239,142,2,346.92
444,173,7,365.23
99,65,10,466.39
55,21,2,425.47
390,68,4,384.66
49,59,3,12.15
388,197,9,145.21
60,53,5,131.29
426,192,2,198.44
124,84,4,450.85
256,96,8,393.9
470,128,1,490.91
402,86,1,80.5
217,166,4,308.83
177,3,9,220.09
89,113,10,386.97
208,198,3,106.66
179,45,5,252.28
143,110,1,250.8
6,28,5,263.12
31,7,6,324.46
284,187,9,226.76
3,26,3,234.97
460,40,7,214.5
